NOP,TOR
LAL,LAC
CHI,CHA
DET,IND
CLE,ORL
MIN,BKN
MEM,MIA
BOS,PHI
WAS,DAL
NYK,SAS
OKC,UTH
SAC,PHX
DEN,POR
ATL,DET
MIL,HOU
LAC,GSW
TOR,BOS
MIN,CHA
NYK,BKN
CHI,MEM
DAL,NOP
WAS,OKC
PHX,DEN
POR,SAC
UTH,LAL
MIA,MIL
PHI,DET
ORL,ATL
BOS,NYK
IND,CLE
TOR,CHI
NOP,HOU
WAS,SAS
SAC,UTH
LAC,PHX
